web-scraper-order,web-scraper-start-url,location_date,brand_type,price
"1703597180-1","https://www.tutti.ch/de/q/autos/Ak8CkY2Fyc5TAkZOrY2Fyc1JlZ1llYXLAzQfJwMA?sorting=newest&page=94","Waadt, 1026, 03.10.2018, auf autoscout24.ch","LANCIA Dedra 2.0 i.e. LX","3'900.-"
"1703597180-2","https://www.tutti.ch/de/q/autos/Ak8CkY2Fyc5TAkZOrY2Fyc1JlZ1llYXLAzQfJwMA?sorting=newest&page=94","Aargau, 5054, 08.09.2018, auf autoscout24.ch","VW Golf 1800 S-Plus (GL)","5'990.-"
"1703597180-3","https://www.tutti.ch/de/q/autos/Ak8CkY2Fyc5TAkZOrY2Fyc1JlZ1llYXLAzQfJwMA?sorting=newest&page=94","Thurgau, 8370, 26.06.2018, auf autoscout24.ch","LANCIA Dedra 2.0 HF Integrale","6'950.-"
"1703597180-4","https://www.tutti.ch/de/q/autos/Ak8CkY2Fyc5TAkZOrY2Fyc1JlZ1llYXLAzQfJwMA?sorting=newest&page=94","Bern, 3604, 04.06.2018, auf autoscout24.ch","LANCIA BETA 2000 Spider","19'990.-"
"1703597180-5","https://www.tutti.ch/de/q/autos/Ak8CkY2Fyc5TAkZOrY2Fyc1JlZ1llYXLAzQfJwMA?sorting=newest&page=94","Bern, 4943, 04.04.2018, auf autoscout24.ch","VW Polo 1300 C (X)","12'900.-"
"1703597180-6","https://www.tutti.ch/de/q/autos/Ak8CkY2Fyc5TAkZOrY2Fyc1JlZ1llYXLAzQfJwMA?sorting=newest&page=94","Wallis, 1870, 02.04.2018, auf Autoscout24.ch","HONDA INTEGRA","19'999.-"
"1703597180-7","https://www.tutti.ch/de/q/autos/Ak8CkY2Fyc5TAkZOrY2Fyc1JlZ1llYXLAzQfJwMA?sorting=newest&page=94","Bern, 3236, 08.02.2018, auf autoscout24.ch","BUICK CENTURY LUXUS 5.7-V8 Coupé 350cu.in.","18'850.-"
"1703597180-8","https://www.tutti.ch/de/q/autos/Ak8CkY2Fyc5TAkZOrY2Fyc1JlZ1llYXLAzQfJwMA?sorting=newest&page=94","St. Gallen, 9300, 11.11.2017, auf autoscout24.ch","OPEL Corsa 1.3 GL","6'900.-"
"1703597180-9","https://www.tutti.ch/de/q/autos/Ak8CkY2Fyc5TAkZOrY2Fyc1JlZ1llYXLAzQfJwMA?sorting=newest&page=94","Zürich, 8051, 09.03.2017, auf autoscout24.ch","HONDA N 400","5'900.-"
"1703597180-10","https://www.tutti.ch/de/q/autos/Ak8CkY2Fyc5TAkZOrY2Fyc1JlZ1llYXLAzQfJwMA?sorting=newest&page=94","St. Gallen, 9127, 26.10.2015, auf autoscout24.ch","OPEL KADETT","16'700.-"
"1703597180-11","https://www.tutti.ch/de/q/autos/Ak8CkY2Fyc5TAkZOrY2Fyc1JlZ1llYXLAzQfJwMA?sorting=newest&page=94","Bern, 2542, 23.10.2015, auf autoscout24.ch","CITROEN 2CV AZ 12 PS. MODELL 1957","9'800.-"
"1703597180-12","https://www.tutti.ch/de/q/autos/Ak8CkY2Fyc5TAkZOrY2Fyc1JlZ1llYXLAzQfJwMA?sorting=newest&page=94","Zug, 6314, 26.08.2015, auf autoscout24.ch","MORRIS MM 8","37'000.-"
